w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
4.782,421.840243546,520.536410298,567.503846926,401.455547151,388.186091267
4.784,421.8099288,520.237975903,567.527966402,401.441012209,388.177385311
4.786,421.779908601,519.939921442,567.552261162,401.426754744,388.168970687
4.788,421.750182948,519.642246914,567.576731206,401.412774757,388.160847394
4.79,421.720751842,519.344952321,567.601376535,401.399072247,388.153015432
4.792,421.691615282,519.048037662,567.626197147,401.385647215,388.145474801
4.794,421.662773269,518.751502938,567.651193042,401.372499661,388.138225502
4.796,421.634225802,518.455348147,567.676364222,401.359629584,388.131267535
4.798,421.605972882,518.159573291,567.701710686,401.347036985,388.124600898
4.8,421.578014508,517.864178368,567.727232434,401.334721863,388.118225594
4.802,421.550350681,517.56916338,567.752929466,401.322684219,388.11214162
4.804,421.5229814,517.274528326,567.778801782,401.310924052,388.106348978
4.806,421.495906665,516.980273207,567.804849381,401.299441363,388.100847667
4.808,421.469126477,516.686398021,567.831072265,401.288236152,388.095637688
4.81,421.442640836,516.39290277,567.857470432,401.277308418,388.09071904
4.812,421.416449741,516.099787452,567.884043884,401.266658162,388.086091723
4.814,421.390553192,515.807052069,567.910792619,401.256285384,388.081755738
4.816,421.36495119,515.51469662,567.937716639,401.246190083,388.077711084
4.818,421.339643735,515.222721105,567.964815942,401.236372259,388.073957762
4.82,421.314630825,514.931125525,567.992090529,401.226831913,388.070495771
4.822,421.289912463,514.639909878,568.019540401,401.217569045,388.067325111
4.824,421.265488647,514.349074166,568.047165556,401.208583655,388.064445783
4.826,421.241359377,514.058618388,568.074965995,401.199875742,388.061857786
4.828,421.217524654,513.768542544,568.102941718,401.191445306,388.059561121
4.83,421.193984477,513.478846634,568.131092725,401.183292348,388.057555787
4.832,421.170738847,513.189530658,568.159419016,401.175416868,388.055841784
4.834,421.147787763,512.900594617,568.187920591,401.167818865,388.054419113
4.836,421.125131225,512.61203851,568.21659745,401.16049834,388.053287773
4.838,421.102769234,512.323862336,568.245449593,401.153455293,388.052447764
4.84,421.08070179,512.036066097,568.27447702,401.146689723,388.051899087
4.842,421.058928892,511.748649792,568.303679731,401.140201631,388.051641741
4.844,421.037450541,511.461613422,568.333057725,401.133991016,388.051675727
4.846,421.016266736,511.174956985,568.362611004,401.128057879,388.052001044
4.848,420.995377477,510.888680483,568.392339567,401.122402219,388.052617692
4.85,420.974782765,510.602783915,568.422243413,401.117024037,388.053525672
4.852,420.954482599,510.317267281,568.452322544,401.111923333,388.054724983
4.854,420.93447698,510.032130581,568.482576958,401.107100106,388.056215626
4.856,420.914765908,509.747373815,568.513006657,401.102554357,388.057997599
4.858,420.895349381,509.462996983,568.543611639,401.098286085,388.060070905
4.86,420.876227402,509.179000086,568.574391905,401.094295292,388.062435541
4.862,420.857399969,508.895383123,568.605347456,401.090581975,388.06509151
4.864,420.838867082,508.612146094,568.63647829,401.087146136,388.068038809
4.866,420.820628742,508.329288999,568.667784408,401.083987775,388.07127744
4.868,420.802684948,508.046811838,568.69926581,401.081106891,388.074807402
4.87,420.7850357,507.764714611,568.730922496,401.078503485,388.078628696
4.872,420.767680999,507.482997319,568.762754466,401.076177557,388.082741321
4.874,420.750620845,507.201659961,568.79476172,401.074129106,388.087145277
4.876,420.733855237,506.920702537,568.826944258,401.072358133,388.091840565
4.878,420.717384176,506.640125047,568.85930208,401.070864637,388.096827184
4.88,420.701207661,506.359927491,568.891835186,401.069648619,388.102105135
4.882,420.685325692,506.080109869,568.924543576,401.068710079,388.107674417
4.884,420.66973827,505.800672182,568.957427249,401.068049016,388.11353503
4.886,420.654445395,505.521614429,568.990486207,401.06766543,388.119686975
4.888,420.639447065,505.242936609,569.023720449,401.067559323,388.126130251
4.89,420.624743283,504.964638724,569.057129974,401.067730693,388.132864858
4.892,420.610334047,504.686720774,569.090714784,401.06817954,388.139890797
4.894,420.596219357,504.409182757,569.124474877,401.068905865,388.147208067
4.896,420.582399214,504.132024674,569.158410255,401.069909668,388.154816669
4.898,420.568873617,503.855246526,569.192520916,401.071190948,388.162716602
4.9,420.555642567,503.578848312,569.226806861,401.072749706,388.170907866
4.902,420.542706063,503.302830032,569.261268091,401.074585941,388.179390462
4.904,420.530064106,503.027191686,569.295904604,401.076699654,388.188164389
4.906,420.517716695,502.751933274,569.330716401,401.079090845,388.197229648
4.908,420.50566383,502.477054797,569.365703482,401.081759513,388.206586238
4.91,420.493905513,502.202556253,569.400865847,401.084705659,388.216234159
4.912,420.482441741,501.928437644,569.436203496,401.087929282,388.226173412
4.914,420.471272516,501.654698969,569.471716429,401.091430383,388.236403996
4.916,420.460397838,501.381340228,569.507404646,401.095208962,388.246925912
4.918,420.449817706,501.108361422,569.543268147,401.099265018,388.257739159
4.92,420.43953212,500.835762549,569.579306932,401.103598551,388.268843737
4.922,420.429541081,500.563543611,569.615521,401.108209563,388.280239646
4.924,420.419844588,500.291704606,569.651910353,401.113098052,388.291926888
4.926,420.410442642,500.020245536,569.68847499,401.118264018,388.30390546
4.928,420.401335243,499.7491664,569.725214911,401.123707462,388.316175364
4.93,420.392522389,499.478467199,569.762130115,401.129428384,388.328736599
4.932,420.384004083,499.208147931,569.799220604,401.135426783,388.341589166
4.934,420.375780322,498.938208598,569.836486376,401.14170266,388.354733064
4.936,420.367851109,498.668649198,569.873927433,401.148256015,388.368168293
4.938,420.360216441,498.399469733,569.911543773,401.155086847,388.381894854
4.94,420.35287632,498.130670202,569.949335397,401.162195156,388.395912746
4.942,420.345830746,497.862250606,569.987302305,401.169580943,388.410221969
4.944,420.339079718,497.594210943,570.025444498,401.177244208,388.424822524
4.946,420.332623237,497.326551214,570.063761974,401.185184951,388.43971441
4.948,420.326461302,497.05927142,570.102254734,401.193403171,388.454897628
4.95,420.320593913,496.79237156,570.140922778,401.201898868,388.470372177
4.952,420.315021071,496.525851634,570.179766106,401.210672043,388.486138058
4.954,420.309742776,496.259711642,570.218784718,401.219722696,388.50219527
4.956,420.304759027,495.993951585,570.257978614,401.229050826,388.518543813
4.958,420.300069824,495.728571461,570.297347794,401.238656434,388.535183687
4.96,420.295675168,495.463571272,570.336892258,401.24853952,388.552114893
4.962,420.291575058,495.198951017,570.376612005,401.258700083,388.569337431
4.964,420.287769495,494.934710696,570.416507037,401.269138124,388.586851299
4.966,420.284258479,494.670850309,570.456577353,401.279853642,388.6046565
4.968,420.281042008,494.407369856,570.496822953,401.290846638,388.622753031
4.97,420.278120085,494.144269338,570.537243836,401.302117111,388.641140894
4.972,420.275492707,493.881548753,570.577840004,401.313665063,388.659820088
4.974,420.273159876,493.619208103,570.618611455,401.325490491,388.678790614
4.976,420.271121592,493.357247387,570.659558191,401.337593397,388.698052471
